Data;11 - Taxa de juros - Selic - % a.d.;422 - Taxa de juros - TBC anualizada - % a.a.;1780 - BM - Papel moeda em circulação (saldo diário) - u.m.c. (mil);27783 - Meios de pagamento - Papel moeda em poder do público (saldo diário) - Novo - u.m.c. (mil);27785 - Meios de pagamento - M1 (saldo diário) - Novo - u.m.c. (mil)
10/07/2024;0,039270 ;-;349.512.213 ;303.810.853 ;675.181.115
11/07/2024;0,039270 ;-;349.175.800 ;302.431.376 ;660.534.617
12/07/2024;0,039270 ;-;348.775.873 ;301.311.176 ;660.378.773
15/07/2024;0,039270 ;-;348.461.225 ;298.838.386 ;667.455.168
16/07/2024;0,039270 ;-;348.253.641 ;297.691.948 ;648.656.277
17/07/2024;0,039270 ;-;348.100.896 ;296.411.437 ;646.939.665
18/07/2024;0,039270 ;-;347.891.726 ;295.738.523 ;648.110.874
19/07/2024;0,039270 ;-;347.728.677 ;295.629.904 ;639.059.593
22/07/2024;0,039270 ;-;347.636.013 ;293.465.096 ;652.634.062
23/07/2024;0,039270 ;-;347.423.654 ;292.361.789 ;642.559.809
24/07/2024;0,039270 ;-;347.269.992 ;291.902.849 ;645.143.959
25/07/2024;0,039270 ;-;347.217.467 ;292.193.786 ;642.899.207
26/07/2024;0,039270 ;-;347.222.983 ;293.181.394 ;643.440.757
29/07/2024;0,039270 ;-;347.296.254 ;293.319.978 ;666.582.801
30/07/2024;0,039270 ;-;347.593.778 ;294.344.612 ;662.925.714
31/07/2024;0,039270 ;-;347.820.490 ;296.542.447 ;640.321.849
01/08/2024;0,039270 ;-;348.602.076 ;299.800.992 ;664.441.330
02/08/2024;0,039270 ;-;349.101.313 ;302.309.108 ;662.314.521
05/08/2024;0,039270 ;-;349.601.484 ;303.975.477 ;681.163.086
06/08/2024;0,039270 ;-;349.690.719 ;305.072.343 ;675.854.050
07/08/2024;0,039270 ;-;349.474.269 ;306.520.400 ;664.948.406
08/08/2024;0,039270 ;-;349.181.028 ;306.412.074 ;679.140.360
09/08/2024;0,039270 ;-;348.668.278 ;305.520.794 ;661.943.209
12/08/2024;0,039270 ;-;348.206.550 ;302.520.356 ;676.354.302
13/08/2024;0,039270 ;-;347.602.395 ;300.465.712 ;649.506.492
14/08/2024;0,039270 ;-;347.164.108 ;299.015.149 ;645.235.068
15/08/2024;0,039270 ;-;346.751.474 ;298.319.378 ;658.134.617
16/08/2024;0,039270 ;-;346.393.804 ;298.391.318 ;653.944.141
19/08/2024;0,039270 ;-;346.126.250 ;296.119.332 ;665.244.648
20/08/2024;0,039270 ;-;345.929.267 ;294.836.402 ;646.194.899
21/08/2024;0,039270 ;-;345.702.967 ;293.791.702 ;641.234.986
