Data;20662 - Concessões de crédito com recursos livres - Pessoas físicas - Total - R$ (milhões);20663 - Concessões de crédito com recursos livres não rotativo - Pessoas físicas - R$ (milhões);20664 - Concessões de crédito com recursos livres rotativo - Pessoas físicas - R$ (milhões);20665 - Concessões de crédito com recursos livres - Pessoas físicas - Cheque especial - R$ (milhões);20672 - Concessões de crédito com recursos livres - Pessoas físicas - Crédito pessoal total - R$ (milhões);20714 - Taxa média de juros das operações de crédito - Total - % a.a.;20715 - Taxa média de juros das operações de crédito - Pessoas jurídicas - Total - % a.a.;20716 - Taxa média de juros das operações de crédito - Pessoas físicas - Total - % a.a.;20783 - Spread médio das operações de crédito - Total - p.p.;20852 - Prazo médio das concessões de crédito - Total - Meses
07/2024;304.953 ;65.285 ;239.668 ;42.413 ;40.474 ;27,83 ;18,40 ;32,41 ;18,62 ;126,14
08/2024;290.368 ;64.241 ;226.128 ;41.665 ;40.693 ;27,71 ;18,43 ;32,17 ;18,55 ;126,91
09/2024;293.650 ;62.346 ;231.304 ;42.682 ;39.214 ;27,54 ;17,65 ;32,29 ;18,33 ;122,91
10/2024;309.554 ;66.711 ;242.843 ;44.404 ;40.915 ;28,06 ;19,04 ;32,39 ;18,40 ;127,72
11/2024;302.438 ;58.562 ;243.876 ;43.440 ;35.930 ;28,53 ;19,30 ;32,93 ;18,51 ;126,12
12/2024;316.382 ;57.806 ;258.576 ;44.704 ;34.429 ;28,61 ;19,38 ;33,07 ;17,63 ;129,74
01/2025;302.714 ;63.253 ;239.461 ;44.477 ;41.997 ;29,94 ;21,40 ;34,01 ;18,46 ;127,23
02/2025;292.589 ;58.317 ;234.272 ;44.062 ;38.397 ;30,56 ;20,84 ;35,19 ;19,45 ;128,69
03/2025;301.404 ;58.431 ;242.973 ;44.868 ;38.964 ;31,23 ;22,00 ;35,58 ;19,32 ;124,05
04/2025;309.337 ;62.917 ;246.420 ;44.907 ;41.835 ;31,37 ;21,79 ;35,87 ;19,84 ;129,13
05/2025;305.303 ;58.154 ;247.149 ;46.017 ;35.284 ;31,53 ;21,43 ;36,19 ;20,20 ;132,04
Fonte;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT
