Data;21082 - Inadimplência da carteira de crédito - Total - %;25351 - Indicador de Custo do Crédito - ICC - Total - % a.a.;25352 - Indicador de Custo do Crédito - ICC - Pessoas jurídicas - Total - % a.a.;25353 - Indicador de Custo do Crédito - ICC - Pessoas físicas - Total - % a.a.;27443 - Spread do ICC - Total - p.p.;28857 - Saldo de dívida externa - Títulos privados emitidos por empresas no mercado doméstico - R$ (milhões);28859 - Saldo de empréstimos e financiamentos a famílias - Total - R$ (milhões);28863 - Saldo de instrumentos de securitização - devedores famílias - R$ (milhões);29037 - Endividamento das famílias com o Sistema Financeiro Nacional em relação à renda acumulada dos últimos doze meses (RNDBF) - %
07/2024;3,17 ;21,76 ;16,21 ;25,31 ;14,01 ;19.960 ;3.934.777 ;65.265 ;47,85
08/2024;3,21 ;21,78 ;16,21 ;25,36 ;14,01 ;18.490 ;3.977.215 ;62.643 ;48,00
09/2024;3,21 ;21,81 ;16,25 ;25,40 ;14,00 ;20.785 ;4.025.543 ;65.890 ;48,03
10/2024;3,17 ;21,74 ;16,14 ;25,32 ;13,88 ;18.608 ;4.072.595 ;63.170 ;48,09
11/2024;3,14 ;21,75 ;16,18 ;25,32 ;13,82 ;26.723 ;4.125.226 ;69.115 ;48,30
12/2024;2,96 ;21,57 ;16,17 ;25,09 ;13,51 ;26.068 ;4.163.878 ;71.783 ;48,44
01/2025;3,19 ;22,11 ;16,59 ;25,59 ;13,91 ;27.248 ;4.214.830 ;70.289 ;48,63
02/2025;3,26 ;22,40 ;16,77 ;25,98 ;14,07 ;27.247 ;4.242.017 ;72.359 ;48,60
03/2025;3,25 ;22,54 ;16,97 ;26,07 ;14,08 ;26.999 ;4.281.263 ;73.738 ;48,90
04/2025;3,47 ;22,81 ;17,16 ;26,37 ;14,24 ;26.691 ;4.312.777 ;71.835 ;48,94
05/2025;3,51 ;22,91 ;17,20 ;26,53 ;14,30 ;26.508 ;4.331.301 ;72.018 ;-
Fonte;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT
